code,name,source_org,topics,years_available
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev3-3.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2021","Agriculture & Rural Development  , Climate Change, Environment ",1990-2015
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev3-3.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2021","Climate Change, Urban Development , Environment ",1990-2015
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev3-3.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2021","Climate Change, Urban Development , Environment ",1990-2015
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev3-3.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2021","Climate Change, Environment ",1990-2015
AG.LND.FRST.K2,Forest area (sq. km),"FAOSTAT, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/RL, publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change, Environment ",1990-2023
AG.LND.FRST.ZS,Forest area (% of land area),"FAOSTAT, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/RL, publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change, Environment ",1990-2023
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/RL, publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change",2002-2023
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),"FAOSTAT, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change, Environment ",1962-2022
AG.LND.TOTL.K2,Land area (sq. km),"FAOSTAT, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/RL, publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Environment ",1961-2023
AG.LND.TOTL.RU.K2,Rural land area (sq. km),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 2, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev2-2.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2013","Agriculture & Rural Development  , Environment ",1990-2015
AG.LND.TOTL.UR.K2,Urban land area (sq. km),"Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 2, Center For International Earth Science Information Network (CIESIN) - Columbia University, uri: https://www.earthdata.nasa.gov/data/catalog/sedac-ciesin-sedac-lecz-urplaev2-2.00, publisher: NASA Socioeconomic Data and Applications Center (SEDAC), date published: 2013","Urban Development , Environment ",1990-2015
AG.PRD.CREL.MT,Cereal production (metric tons),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/QCL, publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2023
AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2022
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2022
AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Agriculture & Rural Development  ,1961-2022
AG.SRF.TOTL.K2,Surface area (sq. km),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Environment ",1961-2023
AG.YLD.CREL.KG,Cereal yield (kg per hectare),"FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), uri: https://www.fao.org/faostat/en/#data/QCL, publisher: Food and Agriculture Organization of the United Nations (FAO)","Agriculture & Rural Development  , Climate Change",1961-2023
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF);
World Development Indicators Database, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD)","Economy & Growth, Private Sector, Trade",1976-2024
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Private Sector, Trade",1976-2024
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Science & Technology ",1976-2024
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, External Debt, Trade",1976-2024
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources","Economy & Growth, Financial Sector ",1976-2024
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources","Economy & Growth, Financial Sector ",1976-2024
BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)","IMF balance of payments data, International Monetary Fund (IMF);
Staff estimates, World Bank (WB)","Economy & Growth, Financial Sector ",1976-2024
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, External Debt",1976-2024
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF);
World Development Indicators Database, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD)",Economy & Growth,1976-2024
BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Financial Sector ",1976-2024
BN.KLT.PTXL.CD,"Portfolio Investment, net (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Financial Sector ",1976-2024
BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1993-2024
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)","DAC2A: Aid (ODA) disbursements to countries and regions, Organisation for Economic Co-operation and Development (OECD), uri: DSD_DAC2@DF_DAC2A, note: Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows, Development Co-operation Report, and OECD Data Explorer database. Data are available online at: https://data-explorer.oecd.org/., publisher: Organisation for Economic Co-operation and Development (OECD)","Economy & Growth, External Debt, Aid Effectiveness ",1960-2023
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)","DAC2A: Aid (ODA) disbursements to countries and regions, Organisation for Economic Co-operation and Development (OECD), uri: DSD_DAC2@DF_DAC2A, note: Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows, Development Co-operation Report, and OECD Data Explorer database. Data are available online at: https://data-explorer.oecd.org/.","Economy & Growth, External Debt, Aid Effectiveness ",1960-2023
BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Infrastructure , Trade",1986-2024
BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Infrastructure , Trade",1986-2024
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Private Sector, Trade",1976-2024
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Science & Technology ",2016-2024
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, External Debt, Trade",1976-2024
BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Trade",1976-2024
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)","Balance of Payments database, International Monetary Fund (IMF), note: International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.;
UN Conference on Trade and Development (UNCTAD);
Official national sources","Economy & Growth, Financial Sector , External Debt",1970-2024
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)","International Financial Statistics and Balance of Payments databases, International Monetary Fund (IMF);
International Debt Statistics, World Bank (WB);
World Bank GDP estimates, World Bank (WB);
OECD GDP estimates, Organisation for Economic Co-operation and Development (OECD)","Economy & Growth, Financial Sector , Climate Change",1970-2024
BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)","Balance of Payments database, International Monetary Fund (IMF);
International Debt Statistics, World Bank (WB)","Economy & Growth, Financial Sector , External Debt",1976-2024
BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)",Economy & Growth,1976-2024
BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)","Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Economy & Growth, Financial Sector ",1990-2024
BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","IMF balance of payments data, International Monetary Fund (IMF);
Staff estimates, World Bank (WB)","Economy & Growth, Financial Sector , External Debt",1976-2024
BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)","Staff estimates, World Bank (WB);
IMF balance of payments data, International Monetary Fund (IMF);
World Bank GDP estimates, World Bank (WB);
OECD GDP estimates, Organisation for Economic Co-operation and Development (OECD)","Economy & Growth, Financial Sector ",1976-2024
CC.EST,Control of Corruption: Estimate,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
CC.NO.SRC,Control of Corruption: Number of Sources,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
CC.PER.RNK,Control of Corruption: Percentile Rank,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
CC.PER.RNK.LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval","Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
CC.PER.RNK.UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval","Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
CC.STD.ERR,Control of Corruption: Standard Error,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change),"S&P Global BMI, S&P Dow Jones Indices, uri: https://www.spglobal.com/spdji/en/index-family/equity/global-equity/sp-global-bmi/#overview",Financial Sector ,1997-2018
CM.MKT.LCAP.CD,Market capitalization of listed domestic companies (current US$),"World Federation of Exchanges database, World Federation of Exchanges (WFE)",Financial Sector ,1995-2000
CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP),"World Federation of Exchanges database, World Federation of Exchanges (WFE)",Financial Sector ,1995-2000
CM.MKT.LDOM.NO,"Listed domestic companies, total","World Federation of Exchanges database, World Federation of Exchanges (WFE)",Financial Sector ,1995-2000
CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)","World Federation of Exchanges database, World Federation of Exchanges (WFE)",Financial Sector ,1994-2002
CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)","World Federation of Exchanges database, World Federation of Exchanges (WFE)",Financial Sector ,1994-2002
CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)","World Federation of Exchanges database, World Federation of Exchanges (WFE)",Financial Sector ,1995-2000
DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1983-2023
DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1963-2023
DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1966-2023
DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1968-2023
DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1975-2023
DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1968-2023
DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czechia (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,2005-2022
DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1960-2023
DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1972-2011
DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1987-2023
DC.DAC.ESTL.CD,"Net bilateral aid flows from DAC donors, Estonia (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",,2016-2016
DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1972-2020
DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1973-2023
DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Development Assistance Committee, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Geographical Distribution of Financial Flows to Developing Countries, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
Development Co-operation Report, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/;
International Development Statistics database, Organisation for Economic Co-operation and Development (OECD), uri: https://stats.oecd.org/",Aid Effectiveness ,1966-2023
